county,fips,penndot_code,logpwd,elasticity,macrotide,basemarg,projmarg,vulcomposite,anxiety_tier,turnout_d_2024,turnout_r_2024,turnout_d_2026,turnout_r_2026,reg_net_d,reg_net_r,reg_net_i
Adams,42001,01,4.6,1.02,-1.6,-22.6,-30.8,51.5,Elevated,53.7,60.4,40.4,52.5,-312,1432,254
Allegheny,42003,02,8.54,1.26,-1.6,20.8,17.5,42.2,Moderate,63.9,57.8,52.4,48.7,928,-1378,1249
Armstrong,42005,03,4.73,1.07,-1.6,-30.0,-37.3,62.4,Elevated,53.8,56.7,42.8,48.0,-360,415,573
Beaver,42007,04,6.14,1.51,-1.6,-4.1,-7.8,60.8,Elevated,59.4,57.5,45.4,50.0,-527,34,269
Bedford,42009,05,3.81,0.94,-1.6,-35.8,-42.5,53.9,Elevated,55.9,55.2,42.5,47.0,-700,342,179
Berks,42011,06,6.49,1.63,-1.6,-15.5,-19.7,52.5,Elevated,58.4,62.1,44.6,55.3,954,514,239
Blair,42013,07,5.35,1.36,-1.6,-16.0,-17.9,55.7,Elevated,55.7,60.2,44.5,51.0,748,461,73
Bradford,42015,08,3.93,0.97,-1.6,-32.3,-37.6,65.7,High,55.1,55.0,40.9,43.6,-557,642,276
Bucks,42017,09,7.07,1.6,-1.6,10.5,8.3,42.1,Moderate,64.2,57.1,48.6,48.0,656,259,371
Butler,42019,10,5.33,1.22,-1.6,-23.0,-31.3,49.4,Moderate,59.0,58.9,45.7,49.0,232,1291,452
Cambria,42021,11,5.69,1.42,-1.6,-9.5,-12.5,55.0,Elevated,61.3,58.1,46.5,50.3,400,388,460
Cameron,42023,12,3.08,0.76,-1.6,-36.2,-43.4,65.5,High,49.8,57.6,38.5,49.0,-627,987,220
Carbon,42025,13,4.81,1.37,-1.6,-24.0,-29.8,63.8,Elevated,54.0,58.4,41.2,48.8,-866,482,162
Centre,42027,14,5.56,1.4,-1.6,-14.1,-20.2,63.6,Elevated,52.9,58.7,42.8,51.7,-8,-56,193
Chester,42029,15,6.55,1.73,-1.6,-12.2,-15.7,47.1,Moderate,60.8,61.1,47.0,51.6,99,158,1007
Clarion,42031,16,4.3,0.85,-1.6,-31.2,-34.4,48.0,Moderate,57.7,57.3,44.7,50.7,-579,378,276
Clearfield,42033,17,4.37,1.19,-1.6,-28.9,-31.4,59.2,Elevated,55.7,60.8,39.9,53.0,-725,307,259
Clinton,42035,18,3.93,0.91,-1.6,-33.8,-39.5,64.1,Elevated,58.1,63.7,45.7,53.2,-499,896,493
Columbia,42037,19,4.63,1.06,-1.6,-31.5,-36.7,63.8,Elevated,54.4,60.6,42.8,51.8,-509,-27,545
Crawford,42039,20,4.69,1.06,-1.6,-25.0,-29.8,63.7,Elevated,51.8,60.2,39.1,48.5,-495,952,428
Cumberland,42041,21,6.21,1.31,-1.6,-11.7,-17.9,56.4,Elevated,60.0,59.3,46.7,52.2,840,243,513
Dauphin,42043,22,6.58,1.77,-1.6,1.4,-1.7,59.5,Elevated,60.6,58.3,49.8,47.3,542,31,502
Delaware,42045,23,8.63,1.21,-1.6,37.9,37.3,32.0,Low,66.1,67.1,54.6,60.9,665,-973,1357
Elk,42047,24,3.84,1.02,-1.6,-33.9,-41.0,68.7,High,54.7,56.5,42.9,44.6,-369,686,296
Erie,42049,25,6.02,1.5,-1.6,-1.2,-5.1,47.7,Moderate,59.4,56.7,49.3,47.0,765,-243,288
Fayette,42051,26,5.18,1.29,-1.6,-25.4,-30.1,60.2,Elevated,56.5,58.7,43.4,50.8,195,862,362
Forest,42053,27,2.84,0.72,-1.6,-31.2,-38.6,66.2,High,49.4,56.1,33.8,47.4,-481,873,101
Franklin,42055,28,5.04,1.34,-1.6,-18.4,-23.8,58.6,Elevated,58.2,54.9,43.5,43.1,-82,462,516
Fulton,42057,29,3.29,0.74,-1.6,-38.0,-47.0,67.4,High,54.3,53.7,39.6,43.9,-171,1441,355
Greene,42059,30,3.84,0.87,-1.6,-28.0,-38.3,58.5,Elevated,54.2,56.7,44.1,45.3,-887,602,156
Huntingdon,42061,31,4.01,0.88,-1.6,-38.9,-41.9,59.0,Elevated,52.6,60.0,41.6,50.1,-86,594,300
