county,year,cnty_edu_pct,st_edu_pct,is_projected
Adams,2012,22.1,30.8,0
Adams,2013,24.0,31.3,0
Adams,2014,23.8,31.8,0
Adams,2015,24.3,32.4,0
Adams,2016,24.4,32.9,0
Adams,2017,24.8,33.4,0
Adams,2018,25.4,33.9,0
Adams,2019,25.8,34.4,0
Adams,2020,27.0,35.0,0
Adams,2021,27.6,35.5,0
Adams,2022,27.0,36.0,0
Adams,2023,27.7,36.5,0
Adams,2024,28.5,37.0,0
Adams,2025,28.9,37.6,1
Adams,2026,29.5,38.1,1
Adams,2027,30.3,38.6,1
Adams,2028,30.7,39.1,1
Allegheny,2012,39.2,30.8,0
Allegheny,2013,39.8,31.3,0
Allegheny,2014,41.1,31.8,0
Allegheny,2015,41.7,32.4,0
Allegheny,2016,42.6,32.9,0
Allegheny,2017,43.5,33.4,0
Allegheny,2018,43.4,33.9,0
Allegheny,2019,44.7,34.4,0
Allegheny,2020,45.4,35.0,0
Allegheny,2021,46.2,35.5,0
Allegheny,2022,47.1,36.0,0
Allegheny,2023,47.9,36.5,0
Allegheny,2024,49.0,37.0,0
Allegheny,2025,48.8,37.6,1
Allegheny,2026,49.6,38.1,1
Allegheny,2027,50.8,38.6,1
Allegheny,2028,51.6,39.1,1
Armstrong,2012,28.3,30.8,0
Armstrong,2013,28.1,31.3,0
Armstrong,2014,29.1,31.8,0
Armstrong,2015,29.9,32.4,0
Armstrong,2016,30.6,32.9,0
Armstrong,2017,30.3,33.4,0
Armstrong,2018,31.2,33.9,0
Armstrong,2019,32.1,34.4,0
Armstrong,2020,32.3,35.0,0
Armstrong,2021,33.1,35.5,0
Armstrong,2022,33.1,36.0,0
Armstrong,2023,34.0,36.5,0
Armstrong,2024,34.8,37.0,0
Armstrong,2025,35.4,37.6,1
Armstrong,2026,36.4,38.1,1
Armstrong,2027,37.1,38.6,1
Armstrong,2028,37.4,39.1,1
Beaver,2012,31.1,30.8,0
Beaver,2013,30.8,31.3,0
Beaver,2014,32.1,31.8,0
Beaver,2015,32.7,32.4,0
Beaver,2016,32.6,32.9,0
Beaver,2017,33.3,33.4,0
Beaver,2018,34.3,33.9,0
Beaver,2019,35.5,34.4,0
Beaver,2020,36.5,35.0,0
Beaver,2021,36.6,35.5,0
Beaver,2022,37.7,36.0,0
Beaver,2023,37.8,36.5,0
Beaver,2024,38.6,37.0,0
Beaver,2025,39.7,37.6,1
Beaver,2026,40.6,38.1,1
Beaver,2027,40.4,38.6,1
Beaver,2028,41.3,39.1,1
Bedford,2012,26.4,30.8,0
Bedford,2013,26.1,31.3,0
Bedford,2014,27.2,31.8,0
Bedford,2015,27.4,32.4,0
Bedford,2016,27.5,32.9,0
Bedford,2017,27.6,33.4,0
Bedford,2018,28.8,33.9,0
Bedford,2019,29.4,34.4,0
Bedford,2020,29.9,35.0,0
Bedford,2021,29.4,35.5,0
Bedford,2022,30.0,36.0,0
Bedford,2023,31.4,36.5,0
Bedford,2024,32.1,37.0,0
Bedford,2025,32.2,37.6,1
Bedford,2026,32.3,38.1,1
Bedford,2027,33.1,38.6,1
Bedford,2028,32.6,39.1,1
Berks,2012,29.2,30.8,0
Berks,2013,29.3,31.3,0
Berks,2014,30.4,31.8,0
Berks,2015,30.1,32.4,0
Berks,2016,31.6,32.9,0
Berks,2017,31.8,33.4,0
Berks,2018,32.1,33.9,0
Berks,2019,33.2,34.4,0
Berks,2020,33.8,35.0,0
Berks,2021,33.7,35.5,0
Berks,2022,35.2,36.0,0
Berks,2023,34.9,36.5,0
Berks,2024,36.0,37.0,0
Berks,2025,36.1,37.6,1
Berks,2026,37.0,38.1,1
Berks,2027,37.3,38.6,1
Berks,2028,38.1,39.1,1
Blair,2012,28.3,30.8,0
Blair,2013,29.4,31.3,0
Blair,2014,31.2,31.8,0
Blair,2015,31.3,32.4,0
Blair,2016,32.0,32.9,0
Blair,2017,32.9,33.4,0
Blair,2018,34.2,33.9,0
Blair,2019,34.0,34.4,0
Blair,2020,36.0,35.0,0
Blair,2021,35.7,35.5,0
Blair,2022,37.0,36.0,0
Blair,2023,37.2,36.5,0
Blair,2024,38.3,37.0,0
Blair,2025,39.3,37.6,1
Blair,2026,39.8,38.1,1
Blair,2027,40.4,38.6,1
Blair,2028,41.5,39.1,1
Bradford,2012,23.0,30.8,0
Bradford,2013,23.3,31.3,0
Bradford,2014,24.3,31.8,0
Bradford,2015,24.2,32.4,0
Bradford,2016,25.1,32.9,0
Bradford,2017,25.7,33.4,0
Bradford,2018,25.8,33.9,0
Bradford,2019,26.7,34.4,0
Bradford,2020,27.2,35.0,0
Bradford,2021,27.6,35.5,0
Bradford,2022,28.0,36.0,0
Bradford,2023,28.4,36.5,0
Bradford,2024,29.2,37.0,0
Bradford,2025,30.1,37.6,1
Bradford,2026,30.4,38.1,1
Bradford,2027,29.6,38.6,1
Bradford,2028,31.3,39.1,1
Bucks,2012,34.8,30.8,0
Bucks,2013,35.4,31.3,0
Bucks,2014,36.2,31.8,0
Bucks,2015,36.9,32.4,0
Bucks,2016,37.3,32.9,0
Bucks,2017,37.5,33.4,0
Bucks,2018,38.6,33.9,0
Bucks,2019,39.5,34.4,0
Bucks,2020,40.0,35.0,0
Bucks,2021,41.2,35.5,0
Bucks,2022,41.5,36.0,0
Bucks,2023,42.2,36.5,0
Bucks,2024,42.3,37.0,0
Bucks,2025,43.0,37.6,1
Bucks,2026,44.3,38.1,1
Bucks,2027,44.7,38.6,1
Bucks,2028,44.9,39.1,1
Butler,2012,28.9,30.8,0
Butler,2013,29.8,31.3,0
Butler,2014,31.0,31.8,0
Butler,2015,31.1,32.4,0
Butler,2016,31.7,32.9,0
Butler,2017,32.1,33.4,0
Butler,2018,33.0,33.9,0
Butler,2019,33.3,34.4,0
Butler,2020,34.2,35.0,0
Butler,2021,34.5,35.5,0
Butler,2022,35.5,36.0,0
Butler,2023,36.5,36.5,0
Butler,2024,36.8,37.0,0
Butler,2025,37.6,37.6,1
Butler,2026,38.2,38.1,1
Butler,2027,38.5,38.6,1
Butler,2028,40.0,39.1,1
Cambria,2012,31.5,30.8,0
Cambria,2013,32.8,31.3,0
Cambria,2014,32.8,31.8,0
Cambria,2015,34.3,32.4,0
Cambria,2016,34.2,32.9,0
Cambria,2017,35.4,33.4,0
Cambria,2018,36.5,33.9,0
Cambria,2019,36.6,34.4,0
Cambria,2020,36.9,35.0,0
Cambria,2021,37.6,35.5,0
Cambria,2022,38.6,36.0,0
Cambria,2023,38.9,36.5,0
Cambria,2024,40.2,37.0,0
Cambria,2025,40.9,37.6,1
Cambria,2026,42.0,38.1,1
Cambria,2027,42.8,38.6,1
Cambria,2028,43.0,39.1,1
Cameron,2012,17.4,30.8,0
Cameron,2013,18.1,31.3,0
Cameron,2014,18.6,31.8,0
Cameron,2015,18.8,32.4,0
Cameron,2016,19.4,32.9,0
Cameron,2017,19.8,33.4,0
Cameron,2018,20.8,33.9,0
Cameron,2019,20.3,34.4,0
Cameron,2020,20.7,35.0,0
Cameron,2021,22.0,35.5,0
Cameron,2022,22.1,36.0,0
Cameron,2023,23.0,36.5,0
Cameron,2024,23.3,37.0,0
Cameron,2025,23.0,37.6,1
Cameron,2026,24.1,38.1,1
Cameron,2027,24.8,38.6,1
Cameron,2028,24.5,39.1,1
Carbon,2012,28.4,30.8,0
Carbon,2013,28.3,31.3,0
Carbon,2014,29.1,31.8,0
Carbon,2015,29.2,32.4,0
Carbon,2016,30.0,32.9,0
Carbon,2017,30.2,33.4,0
Carbon,2018,31.3,33.9,0
Carbon,2019,31.5,34.4,0
Carbon,2020,32.4,35.0,0
Carbon,2021,31.9,35.5,0
Carbon,2022,33.0,36.0,0
Carbon,2023,33.8,36.5,0
Carbon,2024,34.4,37.0,0
Carbon,2025,34.5,37.6,1
Carbon,2026,35.1,38.1,1
Carbon,2027,35.6,38.6,1
Carbon,2028,35.7,39.1,1
Centre,2012,30.7,30.8,0
Centre,2013,31.3,31.3,0
Centre,2014,32.6,31.8,0
Centre,2015,32.8,32.4,0
Centre,2016,32.9,32.9,0
Centre,2017,33.7,33.4,0
Centre,2018,34.3,33.9,0
Centre,2019,34.3,34.4,0
Centre,2020,34.9,35.0,0
Centre,2021,35.8,35.5,0
Centre,2022,36.4,36.0,0
