county,year,margin
Adams,2012,-21.5
Adams,2014,-21.7
Adams,2016,-18.2
Adams,2018,-14.6
Adams,2020,-24.0
Adams,2022,-27.8
Adams,2024,-14.1
Allegheny,2012,9.7
Allegheny,2014,16.1
Allegheny,2016,9.5
Allegheny,2018,14.2
Allegheny,2020,22.0
Allegheny,2022,15.3
Allegheny,2024,25.5
Armstrong,2012,-28.0
Armstrong,2014,-23.2
Armstrong,2016,-22.9
Armstrong,2018,-35.1
Armstrong,2020,-30.7
Armstrong,2022,-32.5
Armstrong,2024,-28.6
Beaver,2012,-3.6
Beaver,2014,-11.0
Beaver,2016,-4.7
Beaver,2018,-9.3
Beaver,2020,-3.4
Beaver,2022,-5.0
Beaver,2024,-2.5
Bedford,2012,-26.7
Bedford,2014,-39.1
Bedford,2016,-27.9
Bedford,2018,-31.3
Bedford,2020,-28.5
Bedford,2022,-37.2
Bedford,2024,-36.1
Berks,2012,-14.5
Berks,2014,-21.6
Berks,2016,-21.5
Berks,2018,-15.7
Berks,2020,-13.4
Berks,2022,-18.8
Berks,2024,-19.3
Blair,2012,-9.4
Blair,2014,-16.8
Blair,2016,-13.5
Blair,2018,-17.5
Blair,2020,-15.1
Blair,2022,-22.2
Blair,2024,-18.8
Bradford,2012,-17.9
Bradford,2014,-21.1
Bradford,2016,-24.6
Bradford,2018,-31.5
Bradford,2020,-31.0
Bradford,2022,-34.3
Bradford,2024,-32.6
Bucks,2012,13.4
Bucks,2014,10.4
Bucks,2016,9.2
Bucks,2018,11.5
Bucks,2020,12.5
Bucks,2022,6.4
Bucks,2024,10.2
Butler,2012,-15.1
Butler,2014,-23.9
Butler,2016,-19.0
Butler,2018,-27.1
Butler,2020,-19.9
Butler,2022,-24.0
Butler,2024,-25.2
Cambria,2012,-1.9
Cambria,2014,-8.5
Cambria,2016,-4.4
Cambria,2018,-14.0
Cambria,2020,-6.9
Cambria,2022,-13.8
Cambria,2024,-11.5
Cameron,2012,-21.5
Cameron,2014,-31.7
Cameron,2016,-27.1
Cameron,2018,-31.4
Cameron,2020,-36.5
Cameron,2022,-34.5
Cameron,2024,-35.3
Carbon,2012,-19.1
Carbon,2014,-20.3
Carbon,2016,-19.6
Carbon,2018,-18.9
Carbon,2020,-28.1
Carbon,2022,-24.4
Carbon,2024,-24.6
Centre,2012,-9.9
Centre,2014,-9.5
Centre,2016,-8.4
Centre,2018,-14.4
Centre,2020,-11.8
Centre,2022,-17.9
Centre,2024,-15.0
Chester,2012,-12.7
Chester,2014,-14.1
Chester,2016,-14.9
Chester,2018,-11.2
Chester,2020,-15.9
Chester,2022,-18.1
Chester,2024,-9.9
Clarion,2012,-22.9
Clarion,2014,-31.4
Clarion,2016,-29.2
Clarion,2018,-29.7
Clarion,2020,-35.5
Clarion,2022,-35.3
Clarion,2024,-25.9
Clearfield,2012,-20.8
Clearfield,2014,-25.3
Clearfield,2016,-30.7
Clearfield,2018,-33.9
Clearfield,2020,-24.6
Clearfield,2022,-32.3
Clearfield,2024,-28.9
Clinton,2012,-28.9
Clinton,2014,-29.8
Clinton,2016,-29.1
Clinton,2018,-34.8
Clinton,2020,-29.5
Clinton,2022,-37.7
Clinton,2024,-34.4
Columbia,2012,-22.2
Columbia,2014,-28.4
Columbia,2016,-29.6
Columbia,2018,-28.3
Columbia,2020,-33.7
Columbia,2022,-36.4
Columbia,2024,-34.2
Crawford,2012,-16.1
Crawford,2014,-20.4
Crawford,2016,-24.6
Crawford,2018,-23.5
Crawford,2020,-22.0
Crawford,2022,-24.2
Crawford,2024,-25.7
Cumberland,2012,-10.8
Cumberland,2014,-9.3
Cumberland,2016,-10.4
Cumberland,2018,-14.3
Cumberland,2020,-7.1
Cumberland,2022,-13.0
Cumberland,2024,-11.2
Dauphin,2012,1.4
Dauphin,2014,-5.5
Dauphin,2016,-0.3
Dauphin,2018,-3.6
Dauphin,2020,0.8
Dauphin,2022,3.3
Dauphin,2024,-5.4
Delaware,2012,28.5
Delaware,2014,29.3
Delaware,2016,31.9
Delaware,2018,34.5
Delaware,2020,34.9
Delaware,2022,33.5
Delaware,2024,39.2
Elk,2012,-22.4
Elk,2014,-22.8
Elk,2016,-26.6
Elk,2018,-30.9
Elk,2020,-21.9
Elk,2022,-30.4
Elk,2024,-33.0
Erie,2012,3.0
Erie,2014,-1.7
Erie,2016,-1.0
Erie,2018,-0.3
Erie,2020,-1.9
Erie,2022,1.0
Erie,2024,6.9
Fayette,2012,-21.3
